;PPIND;FICE;STATE;TYPE;AVRMATH;AVRVERB;AVRCOMB;AVR_ACT;MATH_1;MATH_3;VERB_1;VERB_3;ACT_1;ACT_3;APP_REC;APP_ACC;NEW_STUD;NEW10;NEW25;FULLTIME;PARTTIME;IN_STATE;OUT_STAT;R_B_COST;ROOM;BOARD;ADD_FEE;BOOK;PERSONAL;PH_D;TERM_D;SF_RATIO;DONATE;INSTRUCT;GRADUAT;SAL_FULL;SAL_AC;SAL_AS;SAL_ALL;COMP_FUL;COMP_AC;COMP_AS;COMP_ALL;NUM_FULL;NUM_AC;NUM_AS;NUM_INS;NUM_ALL
Auburn University-Ma;1;1009;AL;I;575,000;501,000;1076,000;24,000;520,000;638,000;453,000;559,000;21,000;27,000;7548,000;6791,000;3070,000;25,000;57,000;16262,000;1716,000;2100,000;6300,000;3933,000;;;;600,000;1908,000;85,000;91,000;16,700;18,000;6642,000;69,000;580,000;437,000;374,000;455,000;692,000;527,000;451,000;546,000;366,000;354,000;301,000;66,000;1109
University of Alabam;1;1051;AL;I;;;;23,000;;;;;20,000;25,000;7593,000;5972,000;2682,000;;57,000;13780,000;1599,000;2172,000;5424,000;3530,000;1600,000;1930,000;;580,000;1654,000;80,000;91,000;17,300;29,000;6426,000;50,000;605,000;447,000;382,000;463,000;746,000;563,000;483,000;580,000;267,000;206,000;206,000;76,000;762
University of Alabam;1;1052;AL;I;;;;21,000;;;;;18,000;24,000;1797,000;1260,000;938,000;24,000;35,000;6960,000;4698,000;2220,000;4440,000;5175,000;1935,000;3240,000;291,000;750,000;2200,000;96,000;96,000;6,700;16,000;16352,000;33,000;633,000;445,000;366,000;461,000;786,000;569,000;475,000;587,000;106,000;163,000;107,000;19,000;406
University of Alaska;1;1063;AK;I;499,000;462,000;961,000;22,000;;;;;;;1852,000;1427,000;928,000;;;3885,000;4519,000;1742,000;5226,000;3590,000;1800,000;1790,000;155,000;650,000;2304,000;67,000;;10,000;8,000;11935,000;;686,000;560,000;432,000;508,000;914,000;753,000;572,000;677,000;74,000;125,000;118,000;40,000;404
Arizona State Univer;1;1081;AZ;I;521,000;453,000;974,000;23,000;450,000;590,000;390,000;500,000;20,000;25,000;12809,000;10308,000;3761,000;24,000;49,000;22593,000;7585,000;1828,000;7434,000;4850,000;;;66,000;700,000;2100,000;88,000;93,000;18,900;5,000;4602,000;48,000;603,000;449,000;399,000;489,000;723,000;549,000;489,000;593,000;576,000;445,000;251,000;7,000;1383
Northern Arizona Uni;1;1082;AZ;I;495,000;444,000;939,000;22,000;420,000;560,000;380,000;500,000;19,000;24,000;5891,000;4931,000;1973,000;23,000;48,000;11249,000;2682,000;1828,000;6746,000;3728,000;1890,000;1838,000;66,000;620,000;2342,000;78,000;83,000;21,700;7,000;6157,000;41,000;511,000;422,000;359,000;412,000;619,000;518,000;446,000;507,000;173,000;192,000;175,000;33,000;608
University of Arizon;1;1083;AZ;I;526,000;462,000;983,000;23,000;450,000;600,000;400,000;520,000;20,000;26,000;14079,000;12238,000;4529,000;29,000;57,000;21664,000;4894,000;1828,000;7434,000;4216,000;2186,000;2030,000;66,000;620,000;2550,000;91,000;95,000;19,600;;9683,000;49,000;648,000;462,000;411,000;537,000;771,000;561,000;498,000;645,000;647,000;377,000;272,000;2,000;1349
University of Arkans;1;1108;AR;I;;;;;;;;;20,000;26,000;3235,000;3108,000;2133,000;25,000;65,000;9978,000;1530,000;1932,000;5028,000;3300,000;3300,000;;122,000;500,000;2000,000;73,000;89,000;14,800;10,000;6820,000;39,000;563,000;436,000;379,000;452,000;686,000;531,000;461,000;550,000;314,000;198,000;225,000;54,000;806
California Institute;2;1131;CA;I;750,000;660,000;1410,000;;740,000;780,000;610,000;700,000;;;1916,000;507,000;210,000;98,000;;912,000;;16695,000;16695,000;5051,000;;;210,000;735,000;3466,000;;;6,500;36,000;62469,000;83,000;970,000;733,000;576,000;866,000;1204,000;909,000;717,000;1075,000;173,000;40,000;44,000;0,000;257
Stanford University ;2;1305;CA;I;736,000;665,000;1401,000;31,000;650,000;750,000;580,000;690,000;26,000;33,000;13608,000;2926,000;1616,000;88,000;97,000;6573,000;;18669,000;18669,000;6795,000;;;;840,000;1355,000;;99,000;9,700;25,000;33629,000;96,000;952,000;658,000;519,000;824,000;1144,000;814,000;653,000;1000,000;533,000;139,000;145,000;0,000;834
